Local Government,Facility,Equipment/Item,Remark as written up,Kept in the register
Napak,Napak Seed Secondary School,Drawing copper pins,no quantity written,(blank)
Napak,Napak Seed Secondary School,Conical flasks 250ml (64),quantity digit reads 64 or 04 - verify,(blank)
Napak,Napak Seed Secondary School,Constantan SWG 26,no quantity written,(blank)
Napak,Napak Seed Secondary School,Red wire 50cm (1 roll),sub-line below Dissecting kit; may be separate item or kit component - verify,(blank)
Napak,Napak Seed Secondary School,Galvanometers (30-030) (4),original reads 'Galvanomets entire 30-030 04pcs'; brand/spec unclear,(blank)
Napak,Napak Seed Secondary School,Handlers plastic handle (20),handwriting unclear; may read 'Holders plastic handle',(blank)
Napak,Napak Seed Secondary School,Urinary system chart (1),written as 'Umal system cleat'; corrected to 'Urinary system chart',(blank)
Napak,Napak Seed Secondary School,Micrometer screw gauge (5),on BUILDINGS form p.37,(blank)
Napak,Napak Seed Secondary School,Microscopes (5),05 pcs stolen; on BUILDINGS form p.37,05 pcs stolen.
Napak,Napak Seed Secondary School,"Microscope cover slips 22x22, pack of 100 (200 pcs)",on BUILDINGS form p.37,(blank)
Napak,Napak Seed Secondary School,"Microscope slides, packs of 72 (144 pcs)",on BUILDINGS form p.37; 'packs of' is inferred from handwriting - verify,(blank)
Napak,Napak Seed Secondary School,Motors and pulleys 100mm (5),on BUILDINGS form p.37,(blank)
Napak,Napak Seed Secondary School,"Nichrome wire SWG 28, reel 50gm (1 roll)",on BUILDINGS form p.37; reel spec on sub-line,(blank)
Napak,Napak Seed Secondary School,"Graph paper large (50 sheets, 1 pad)",on BUILDINGS form p.37; original handwriting very unclear - see UNFILLED,(blank)
Napak,Napak Seed Secondary School,Pendulum bobs iron 3/4 inch (10),on BUILDINGS form p.37,(blank)
Napak,Napak Seed Secondary School,Petri dish plastic 10cm (20),on BUILDINGS form p.37,(blank)
Napak,Napak Seed Secondary School,Pipette 10ml glass (12),on BUILDINGS form p.37,(blank)
Napak,Napak Seed Secondary School,Pipette 20ml glass (20),on BUILDINGS form p.37,(blank)
Napak,Napak Seed Secondary School,Pipette 25ml glass (10),on BUILDINGS form p.37,(blank)
Napak,Napak Seed Secondary School,Plotting compass 16mm (5),on BUILDINGS form p.37,(blank)
Napak,Napak Seed Secondary School,Portable burner (10),on BUILDINGS form p.37,(blank)
Napak,Napak Seed Secondary School,"Potentiometer 1cm long, one wire (2)",on BUILDINGS form p.37,(blank)
Napak,Napak Seed Secondary School,Prism (60 deg) equilateral (70),on BUILDINGS form p.37,(blank)
Napak,Napak Seed Secondary School,Prism (60 deg) equilateral 38mm,on BUILDINGS form p.37; '38m' may be size spec (38mm) not quantity - see UNFILLED,(blank)
Napak,Napak Seed Secondary School,Pulley single D/2 50mm,no quantity written; on BUILDINGS form p.37,(blank)
Napak,Napak Seed Secondary School,Pulleys double DIA 50mm metallic,no quantity written; original first word unclear - see UNFILLED; on BUILDINGS form p.37,(blank)
Napak,Napak Seed Secondary School,Reagent bottle 125ml clear (10),on BUILDINGS form p.37,(blank)
Napak,Napak Seed Secondary School,Reagent bottle 500ml clear,no quantity written; on BUILDINGS form p.37,(blank)
Napak,Napak Seed Secondary School,Separating funnel 250ml,written as '250' with no unit; assumed ml; no quantity written; on BUILDINGS form p.37,(blank)
Napak,Napak Seed Secondary School,Rheostat 20 ohm (10),on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,Rheostat 50 ohm (5),on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,Slot masses iron 100g (15),on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,Slot masses iron 50g (50),on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,Spatula 75mm stainless steel (5),on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,Spring balance 1000g (5),on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,Spring balance 500g (5),on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,Spring balance 250g (5),on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,Stop clocks,no quantity written; on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,Test tube brushes (10),on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,Test tube holders (20),on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,"Test tubes 15x125mm Borosilicate glass, pack of 100 (200 pcs)",on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,"Test tubes 15x125mm PyrexGN, pack of 100 (200 pcs)",on BUILDINGS form continuation; 'PyrexGN' brand/grade unclear,(blank)
Napak,Napak Seed Secondary School,Thermometers 70-110C mercury (10),written as 'Mercury Cred' - interpreted as mercury (red); on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,Triple beam balance,no quantity written; on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,Single pan balance (1),on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,Vernier caliper 5 inch (3),on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,Visking tube (30 metres),on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,Voltmeters (0-30V and 0-5V) dual (15),written as '0.5ov Dual'; interpreted as 0-5V dual-range; on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,Volumetric flask 250ml (1),on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,Volumetric flask 500ml (1),on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,Volumetric flask 1000ml (1),on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,Volumetric flask 200ml (1),on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,Wash bottles 250ml (20),on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,Weighing balance 600g x 0.1g,written as 'washing balance'; corrected to 'weighing balance'; no quantity written; on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,Digital scale (1),on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,Wire gauge coated (20),on BUILDINGS form continuation,(blank)
