#,Equipment/Item,State,Source photo,Note / candidate reading,Department,Asset Number,Item Description,Tag Number,Date Placed In Service,Equipment status,Remarks
1,"B.P. Machine, Digital",entered - confirm against photo,138_..._ref0613.jpg,"Item Description second word overwritten on the paper; Equipment status and Remarks in pencil, illegible",Health,,BP machine,MOH/PEPFAR PMTCT/2857,14/02/2022,,
2,B.P. Machine (Aneroid wall mounted),entered - confirm against photo,138_..._ref0613.jpg,"Description 'Stand with a meter on top' is a probable reading, confirm wording",Health,,Stand with a meter on top,Not engraved,2022,"Functional, in use",They are intact
3,"Autoclave 20 Liters.,Duo Operated",entered - confirm against photo,138_..._ref0613.jpg,"Two asset numbers on the paper (5834, 5844); confirm digits. Remarks illegible",Health,"5834, 5844",Autoclave functional,MOH LWATAMA HC III,Dec 2022,Still functional,
4,"Bowl, Kick",entered - confirm against photo,138_..._ref0613.jpg,Description and Remarks illegible; confirm asset number 1221/136,Health,1221/136,,,2022/10,,
5,Bowl Stand,entered - confirm against photo,138_..._ref0613.jpg,"Paper reads 'Ungraved' in Tag Number, entered as 'Not engraved'",Health,,"Steel metal stand, 3 feet",Not engraved,2022,Functional,
6,Counting chamber Neubauer- Improved,entered - confirm against photo,138_..._ref0613.jpg,"Asset number reads approx 'L9-N700 / SN N700 / 3HNC017' and description approx 'Lintemed Nebulizer, 1 used and another placed' - the description does not match the item, resolve against the paper before entering",Health,,,Not engraved,2022,,
7,"Cupboard Steel, Lockable",entered - confirm against photo,138_..._ref0613.jpg,Last word of description uncertain; Remarks illegible,Health,,"Metallic cupboards, steel",MOH LWATAMA HC III,2022,Still functional with broken locks,
8,Drip Stand,entered - confirm against photo,138_..._ref0613.jpg,Only the Department was filled on the paper,Health,,,,,,
9,ESR Stand,NOT photographed,,No photograph of this row exists,,,,,,,
10,Examination Couch,NOT photographed,,No photograph of this row exists,,,,,,,
11,"Examination light,LED",NOT photographed,,No photograph of this row exists,,,,,,,
12,Glucometer,NOT photographed,,No photograph of this row exists,,,,,,,
13,"Haemoglobin Meter, Digital",NOT photographed,,No photograph of this row exists,,,,,,,
14,Height Meter,NOT photographed,,No photograph of this row exists,,,,,,,
15,Instrument Trolley,NOT photographed,,No photograph of this row exists,,,,,,,
16,Microscope Binocular,NOT photographed,,No photograph of this row exists,,,,,,,
17,Otoscope,NOT photographed,,No photograph of this row exists,,,,,,,
18,Patient Screen,NOT photographed,,No photograph of this row exists,,,,,,,
19,Patient Trolley,NOT photographed,,No photograph of this row exists,,,,,,,
20,"Refrigerator, Basic",NOT entered - candidate reading only,136_..._ref0609.jpg,Dept Health; Life in Months approx 120; Tag approx 'MOH LWATAMA HC III'; Date placed 2022; asset number illegible,,,,,,,
21,Stethoscope,NOT entered - candidate reading only,136_..._ref0609.jpg,"Dept Health; Life in Months approx 60; Date placed 2022; asset number approx 'DG 1991-S' / '1221/369', illegible",,,,,,,
22,Stop Watch,NOT entered - candidate reading only,136_..._ref0609.jpg,Dept Health; Date placed 2022; asset number illegible,,,,,,,
23,Stretcher,NOT entered - candidate reading only,136_..._ref0609.jpg,Dept Health; Tag approx 'MOH LWATAMA HC III'; Date placed 2022,,,,,,,
24,"Stove, Gas",NOT entered - candidate reading only,136_..._ref0609.jpg,Dept Health; Date placed 2022; asset number illegible,,,,,,,
25,"Weighing Scale with Height Meter, Adult",NOT entered - candidate reading only,136_..._ref0609.jpg,Dept Health; Tag approx 'MOH LWATAMA HC III'; Date placed 2022,,,,,,,
26,"Weighing Scale, Infant",NOT entered - candidate reading only,136_..._ref0609.jpg,Dept Health; Tag approx 'MOH LWATAMA HC III'; Date placed 2022,,,,,,,
27,"Weighing Scale, Toddler",NOT entered - candidate reading only,136_..._ref0609.jpg,Row present but cells not legible,,,,,,,
28,Wheel Chair,entered - confirm against photo,136_..._ref0609.jpg,"Note written in ink across the row, read with confidence",,,Not received,,,,Wheel chairs available but not included on the copy/list of the UgIFT program.
29,Audio Visual Equipment,NOT entered - candidate reading only,136_..._ref0609.jpg,Row appears blank on the paper; confirm,,,,,,,
30,Medical Waste Bin,NOT entered - candidate reading only,136_..._ref0609.jpg,Dept Health; quantity approx '10 pcs'; Tag approx 'MOH LWATAMA HC III',,,,,,,
31,Wall Clock,NOT photographed,,No photograph of this row exists,,,,,,,
32,Diagnostic Equipment Set for MCH,NOT entered - candidate reading only,139_..._ref0608.jpg,Quantity approx '03 pcs'; asset number illegible,,,,,,,
33,Diagnostic Equipment Set for OPD,NOT entered - candidate reading only,139_..._ref0608.jpg,Quantity approx '02 pcs'; Dept Health; asset number approx 'DC 119',,,,,,,
34,"Glassware Set, Laboratory, Basic",NOT entered - candidate reading only,139_..._ref0608.jpg,Quantity approx '02 pcs'; description illegible,,,,,,,
35,"Hollow Ware Set, Treatment",NOT entered - candidate reading only,139_..._ref0608.jpg,Quantity approx '02 pcs'; Dept Health; asset number approx '1221/646',,,,,,,
36,"Instrument Set, Dressing",NOT entered - candidate reading only,139_..._ref0608.jpg,Quantity approx '02 pcs'; asset number approx 'SH 502',,,,,,,
37,"Instrument Set, Basic ENT",NOT entered - candidate reading only,139_..._ref0608.jpg,Quantity approx '01 pc'; Dept Health; asset number approx 'SH 1122',,,,,,,
38,"Instrument Set, Suture",NOT entered - candidate reading only,139_..._ref0608.jpg,Quantity approx '03 pcs'; asset number approx 'SH 224',,,,,,,
39,"Pulse Oximeter, Hand held",NOT entered - candidate reading only,139_..._ref0608.jpg,Quantity approx '02 pcs'; asset numbers partly legible,,,,,,,
40,"Bed, Adult Patient with Mattress",NOT entered - candidate reading only,139_..._ref0608.jpg,"Quantity approx '14 beds, 15 mattresses'; Tag approx 'MOH LWATAMA HC III'",,,,,,,
41,"Bed, Pediatric Patient, With Mattress",NOT entered - candidate reading only,139_..._ref0608.jpg,Quantity approx '04 beds'; Tag approx 'MOH LWATAMA HC III',,,,,,,
42,Bedside Locker,NOT photographed,,No photograph of this row exists,,,,,,,
43,"Cupboard, Instrument",NOT photographed,,No photograph of this row exists,,,,,,,
44,"Delivery Bed, Hydraulic Manual",NOT photographed,,No photograph of this row exists,,,,,,,
45,"Oxygen Therapy Apparatus, Mininum 45L cylinder",NOT photographed,,No photograph of this row exists,,,,,,,
46,"Resuscitator Manual, Infant, with all Mask sizes",NOT photographed,,No photograph of this row exists,,,,,,,
47,"Resuscitator Manual, Adult, with all mask sizes",NOT photographed,,No photograph of this row exists,,,,,,,
48,"Suction Apparatus, (Electric)",NOT photographed,,No photograph of this row exists,,,,,,,
49,"Nebulizer, Ultrasonic",NOT photographed,,No photograph of this row exists,,,,,,,
50,"Oxygen Concentrator, Duo Flow",NOT photographed,,No photograph of this row exists,,,,,,,
51,Bench,NOT photographed,,No photograph of this row exists,,,,,,,
52,Disinfection Buckets,NOT photographed,,No photograph of this row exists,,,,,,,
53,Baby Cot,NOT photographed,,No photograph of this row exists,,,,,,,
54,Diagnostic Equipment Set for Ward,NOT photographed,,No photograph of this row exists,,,,,,,
55,"Hollow Ware Set, Ward",NOT photographed,,No photograph of this row exists,,,,,,,
56,"Instrument Set, Delivery",NOT photographed,,No photograph of this row exists,,,,,,,
57,"Instrument Set, Stitch Removing",NOT photographed,,No photograph of this row exists,,,,,,,
58,MVA Kit,NOT photographed,,No photograph of this row exists,,,,,,,
59,"Stool, Laboratory",NOT photographed,,No photograph of this row exists,,,,,,,
60,Penguin Sucker,NOT photographed,,No photograph of this row exists,,,,,,,
61,"Fetoscope, Dopplar",NOT photographed,,No photograph of this row exists,,,,,,,
62,Bubble CPAP,NOT photographed,,No photograph of this row exists,,,,,,,
63,Centrifuge (Electric),NOT photographed,,No photograph of this row exists,,,,,,,
64,Kangaroo Mother Care Chair,NOT photographed,,No photograph of this row exists,,,,,,,
65,Radiant Infant Warmer,NOT photographed,,No photograph of this row exists,,,,,,,
66,"Haemoglobin Meter, Sahli",NOT photographed,,No photograph of this row exists,,,,,,,
67,Delivery Bed,NOT photographed,,No photograph of this row exists,,,,,,,
68,Examination light,NOT photographed,,No photograph of this row exists,,,,,,,
69,"Instrument set, ENT Basic for HCIII",NOT entered - candidate reading only,137_..._ref0612.jpg,Row appears blank on the paper; confirm,,,,,,,
70,"Bag Valve mask (Ambu Bag), Neonatal",NOT entered - candidate reading only,137_..._ref0612.jpg,Row appears blank on the paper; confirm,,,,,,,
71,Incubator,NOT entered - candidate reading only,137_..._ref0612.jpg,Row appears blank on the paper; confirm,,,,,,,
72,Office Chair,NOT entered - candidate reading only,137_..._ref0612.jpg,"Quantity approx '07 big, 04 small'; Dept Health; Tag approx 'MOH LWATAMA HC III'",,,,,,,
73,Desk,NOT entered - candidate reading only,137_..._ref0612.jpg,Row appears blank on the paper; confirm,,,,,,,
74,Filing Cabinet,NOT photographed,,No photograph of this row exists,,,,,,,
75,Non Residential Buildings,NOT photographed,,No photograph of this row exists,,,,,,,
76,Residential Buildings,NOT photographed,,No photograph of this row exists,,,,,,,
