Original department,Facility type,Standardised to,Rows
Health,Health facility,Health,1663
(blank),Health facility,Health,500
Education,School,Education,339
(blank),School,Education,261
Edn,School,Education,217
Laboratory,Health facility,Laboratory,99
MCH,Health facility,MCH,79
General,Health facility,General,49
Outpatient,Health facility,OPD,36
ICT,School,ICT,32
Buildings,School,Buildings,30
General ward,Health facility,General ward,29
Labour suite,Health facility,Labour suite,25
Labour suit,Health facility,Labour suite,23
Antenatal room,Health facility,Antenatal room,20
Educ,School,Education,20
Maternity ward,Health facility,Maternity ward,20
OPD / MCH,Health facility,MCH / OPD,20
Store,Health facility,Store,19
General wards,Health facility,General ward,16
Maternity,Health facility,Maternity ward,16
-,Health facility,Health,14
M.C.H,Health facility,MCH,14
None,Health facility,Health,14
O.P.D,Health facility,OPD,13
Consultation room,Health facility,Consultation room,12
OPD,Health facility,OPD,11
Library,School,Library,10
Biology,School,Biology laboratory,9
Children ward,Health facility,Children ward,9
Laboratory,School,Laboratory,8
Store kept,Health facility,Store,8
Antenatal ward,Health facility,Antenatal ward,7
education,School,Education,7
Immunisation room,Health facility,Immunisation room,7
Staff quarters,School,Staff quarters,7
OPD and MCH,Health facility,MCH / OPD,6
Biological Science,School,Biology laboratory,5
Classroom,School,Classroom,5
Dispensing room,Health facility,Dispensing room,5
IPD,Health facility,IPD,5
Kitchen,Health facility,Kitchen,5
Building,School,Buildings,4
Classrooms,School,Classroom,4
Hall,School,Hall,4
O.P.D / M.C.H,Health facility,MCH / OPD,4
O.P.D / Store,Health facility,OPD / Store,4
OPD & MCH,Health facility,MCH / OPD,4
Ward,Health facility,General ward,4
Admin,School,Administration,3
Administration block,School,Administration,3
Delivery room,Health facility,Delivery room,3
Edn.,School,Education,3
Female ward,Health facility,Female ward,3
Kept in store,Health facility,Store,3
Laboratory room,Health facility,Laboratory,3
Labour suite / ward,Health facility,General ward / Labour suite,3
Postnatal room,Health facility,Postnatal room,3
School furniture,School,Furniture,3
Shelter / housing,Health facility,Staff housing,3
Staff room,School,Staff room,3
"Classrooms, staffroom, admin",School,Administration / Classroom / Staff room,2
