no,asset_category_major,asset_category_minor1,asset_category_minor2,depreciate,deprn_method,life_years,life_months,salvage_value
1,BUILDINGS AND STRUCTURES,STRUCTURES,ROADS AND BRIDGES,Yes,STL,25,300,0
2,BUILDINGS AND STRUCTURES,STRUCTURES,AIRPORTS AND AIRFIELDS,Yes,STL,25,300,0
3,BUILDINGS AND STRUCTURES,STRUCTURES,RAILWAYS AND SUBWAYS,Yes,STL,50,600,0
4,BUILDINGS AND STRUCTURES,STRUCTURES,OIL PIPELINES RESERVOIRS,Yes,STL,50,600,0
5,BUILDINGS AND STRUCTURES,STRUCTURES,WATER SUPPLY SYSTEMS,Yes,STL,33.3,400,0
6,BUILDINGS AND STRUCTURES,STRUCTURES,POWER LINES STATIONS PLANTS,Yes,STL,20,240,0
7,BUILDINGS AND STRUCTURES,STRUCTURES,ICT NETWORK LINES,Yes,STL,20,240,0
8,BUILDINGS AND STRUCTURES,STRUCTURES,OTHER STRUCTURES,Yes,STL,20,240,0
9,BUILDINGS AND STRUCTURES,DWELLINGS,RESIDENTIAL BUILDINGS,Yes,STL,50,600,0
10,BUILDINGS AND STRUCTURES,DWELLINGS,OTHER DWELLINGS,Yes,STL,50,600,0
11,BUILDINGS AND STRUCTURES,BUILDINGS OTHER THAN DWELLINGS,NON RESIDENTIAL BUILDINGS,Yes,STL,50,600,0
12,BUILDINGS AND STRUCTURES,BUILDINGS OTHER THAN DWELLINGS,BUILDINGS OTHER THAN DWELLINGS,Yes,STL,50,600,0
13,MACHINERY AND EQUIPMENT,TRANSPORT EQUIPMENT,HEAVY VEHICLES,Yes,STL,10,120,0
14,MACHINERY AND EQUIPMENT,TRANSPORT EQUIPMENT,LIGHT VEHICLES,Yes,STL,5,60,0
15,MACHINERY AND EQUIPMENT,TRANSPORT EQUIPMENT,WATER VESSELS,Yes,STL,10,120,0
16,MACHINERY AND EQUIPMENT,TRANSPORT EQUIPMENT,AIRCRAFTS,Yes,STL,20,240,0
17,MACHINERY AND EQUIPMENT,TRANSPORT EQUIPMENT,TRAIN ENGINES AND WAGONS,Yes,STL,30,360,0
18,MACHINERY AND EQUIPMENT,TRANSPORT EQUIPMENT,CYCLES,Yes,STL,5,60,0
19,MACHINERY AND EQUIPMENT,TRANSPORT EQUIPMENT,OTHER TRANSPORT EQUIPMENT,Yes,STL,5,60,0
20,MACHINERY AND EQUIPMENT,ICT EQUIPMENT,LIGHT ICT HARDWARE,Yes,STL,5,60,0
21,MACHINERY AND EQUIPMENT,ICT EQUIPMENT,HEAVY ICT HARDWARE,Yes,STL,5,60,0
22,MACHINERY AND EQUIPMENT,ICT EQUIPMENT,TELEVISION RADIO TRANSMITTER,Yes,STL,5,60,0
23,MACHINERY AND EQUIPMENT,ICT EQUIPMENT,OTHER ICT EQUIPMENT,Yes,STL,5,60,0
24,MACHINERY AND EQUIPMENT,OTHER MACHINERY AND EQUIPMENT,OFFICE EQUIPMENT,Yes,STL,5,60,0
25,MACHINERY AND EQUIPMENT,OTHER MACHINERY AND EQUIPMENT,ELECTRICAL MACHINERY,Yes,STL,5,60,0
26,MACHINERY AND EQUIPMENT,OTHER MACHINERY AND EQUIPMENT,MED LAB RESEARCH APPLIANCES,Yes,STL,5,60,0
27,MACHINERY AND EQUIPMENT,OTHER MACHINERY AND EQUIPMENT,PRECISION OPTICAL INSTRUMENTS,Yes,STL,5,60,0
28,MACHINERY AND EQUIPMENT,OTHER MACHINERY AND EQUIPMENT,FURNITURE AND FITTINGS,Yes,STL,5,60,0
29,MACHINERY AND EQUIPMENT,OTHER MACHINERY AND EQUIPMENT,MUSICAL INSTRUMENTS,Yes,STL,5,60,0
30,MACHINERY AND EQUIPMENT,OTHER MACHINERY AND EQUIPMENT,SPORTS EQUIPMENT,Yes,STL,5,60,0
31,MACHINERY AND EQUIPMENT,OTHER MACHINERY AND EQUIPMENT,ROAD FURNITURE,Yes,STL,5,60,0
32,MACHINERY AND EQUIPMENT,OTHER MACHINERY AND EQUIPMENT,PLANT MACHINERY,Yes,STL,10,120,0
33,WEAPONS SYSTEMS,CLASSIFIED ASSETS,CLASSIFIED ASSETS,No,STL,10,120,0
34,WEAPONS SYSTEMS,NON-CLASSIFIED,NON-CLASSIFIED,N/A,N/A,N/A,N/A,N/A
35,OTHER FIXED ASSETS,BIOLOGICAL ASSETS,CULTIVATED ANIMALS,No,STL,5,60,0
36,OTHER FIXED ASSETS,BIOLOGICAL ASSETS,CULTIVATED PLANTS,No,STL,5,60,0
37,OTHER FIXED ASSETS,INTELLECTUAL PROPERTY PRODUCTS,RESEARCH AND DEVELOPMENT,Yes,STL,5,60,0
38,OTHER FIXED ASSETS,INTELLECTUAL PROPERTY PRODUCTS,MINERAL EXPLORATIO EVALUATION,Yes,STL,5,60,0
